area,perimeter,aspect_ratio,solidity,eccentricity,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24,filename,role,sample_label,image_type,contour_index
946147.5,4035.9381605386734,0.7281067556296914,0.9922088095665059,0.7318307582927959,0.752504613334998,2.4641240888077665,7.572949462266565,9.042814888790904,17.484574444815017,10.36231451270286,17.519231005610692,0.31830988618092093,0.00015692599418700513,0.08656126434759887,0.08655751511526576,0.00012463339183145622,0.0004897338615640291,0.05494452278376446,0.054933806003829626,0.054924112440092654,4.743857588441912e-05,3.596379724773021e-05,0.0002968468534911794,0.006943364404138791,0.0069624193198686395,0.006993193899044318,0.007000145021748488,0.00012763412497039293,0.00025794289472046253,0.0004949801193116871,0.0001484867316681749,0.03223792419639805,0.03226048498113317,0.03230764314823503,0.03234357700641977,0.03224227140220082,set_01_block_silhouette.jpeg,block,TWKOB5_lungs,silhouette,0
502614.0,6478.925967931747,17.893491124260354,0.9896625868342706,0.999613659369323,-0.18398221632091022,-0.3627348048371922,5.117099038612735,5.997817342353555,-11.936372882967,-6.00632887666297,11.596497599689998,0.3183098861836075,0.0024628891198456497,0.06893628152641519,0.06937001442013237,0.0015223012673239605,0.0017479488772954475,0.05356152478003304,0.054312979793225864,0.05464499193545342,0.0017300297935115233,0.0014061384579975823,0.0013989431531970362,0.007262193764367976,0.008293787122393741,0.008903621560910678,0.009066216337603548,0.003022274784793046,0.0027403522455897605,0.0022698752225900633,0.0019981906634665095,0.024985665378075658,0.023944996183667674,0.023360850106934308,0.022456092239705145,0.024682835013208865,set_01_block_silhouette.jpeg,block,TWKOB5_lungs,silhouette,1
6164.5,407.3208485841751,0.8378378378378378,0.8460166060522885,0.4399742721502753,0.7387973998052655,3.094508672954808,2.7683276666653556,4.937710195569297,-9.525770350403569,6.541293356338009,-8.798213137116234,0.31830988618380973,0.010105634442483883,0.265344097375698,0.044648988197487326,0.013942642571379268,0.13372666575132913,0.03854014023144952,0.025554231638166558,0.052804888086506234,0.03727177794890682,0.07723107303985992,0.01915515413433584,0.06543587760775091,0.040228253508964924,0.038721356600515906,0.09530047491460034,0.015268618553645183,0.049950389842122696,0.04278904135583453,0.03984823868431369,0.028307632331922395,0.009446311663920908,0.005543432865432493,0.05987112090803743,0.01572086424010986,set_02_block_barcode.jpeg,block,WT3_lungs,barcode,0
9089751.5,12889.574805378914,1.0,0.9972799515411825,0.22320743570507504,0.7788690177046728,6.183075200785025,6.2702597707234675,7.419363260479861,14.271487141297433,-10.561916045459853,-15.004168919490336,0.3183098861403385,0.0012704997068525743,0.1364870157381686,0.0010180932719751087,0.0014289568750785583,0.0008556416847649613,0.11513034837987016,0.000631771768990822,0.1163213299193202,0.0005843663767832743,0.0005205570544129264,0.0016137122731695716,0.02978480584075305,0.0015784312108383476,0.029985462956396976,0.0013183140402464432,0.0012819119489604317,0.0008076903258028771,0.002494666686698973,0.0032000161166055416,0.04043860493279113,0.00033696248935405115,0.0409757749541109,0.00213292252047555,0.04045367194256166,set_02_block_barcode.jpeg,block,WT3_lungs,barcode,1
1052479.5,4475.643785119057,0.7130434782608696,0.9879546968187239,0.7266276989013871,0.7527288771196758,2.433213096033441,6.213366049468528,7.743190700645412,-14.72852075989062,8.962427281990175,-15.46921610709385,0.31830988618611067,0.00012539560284994226,0.08024199394164945,0.08018040213047782,9.176816374749555e-05,0.0005051085348336443,0.05534284175163251,0.0552974747859893,0.05517622314078834,0.0001601632773343892,0.00017252925709071977,0.0005372172989217814,0.001004544161200676,0.0010233108622739143,0.0009643943633800156,0.00122900683827408,0.00018102470061518878,0.00042657981314069704,0.0007682544852374478,0.0003087318890092685,0.03003805372658131,0.030063398199920766,0.029921959528667736,0.02982517028630457,0.03010329866050635,set_02_block_silhouette.jpeg,block,WT3_lungs,silhouette,0
241299.5,6255.462983965874,27.743119266055047,0.979978028627764,0.9999602572599529,-0.48343315890371524,-0.9654543867192728,-0.22695520655540924,-0.2227647516960732,-0.44762473078950127,-0.7054913581308616,4.466063120018835,0.3183098861838214,0.0022173585860314742,0.1562323478217976,0.15636445136802202,0.0014100304644609305,0.0022643056821238156,0.013257922047428115,0.014249577382687518,0.013588363470557769,0.001881502507158264,0.0019033410118587724,0.002200414999075588,0.06177792851867832,0.060873256252536624,0.05953165549604641,0.06073331828334472,0.0008809298786103533,0.0016542469862525547,0.002896112452934709,0.0023777472797679782,0.00638696824797482,0.006283933874315231,0.005790355208905216,0.008092670749773427,0.005061058731126378,set_02_block_silhouette.jpeg,block,WT3_lungs,silhouette,1
649278.5,6542.859952569008,12.86808510638298,0.9917016884536166,0.9991494599052128,-0.07127690960327407,-0.13372402861537785,2.276807455362658,2.305839221675176,4.597162591246113,2.2389899924689898,8.01949480718623,0.3183098861836152,0.001626296139901227,0.09470242174825749,0.09487714852981703,0.0008278792098668678,0.001761710433497129,0.05328552978647938,0.05367694160480429,0.05361922185726782,0.0017858027756528915,0.0010454388004875132,0.0014406726611195368,0.015426266779755912,0.014827491358159264,0.01454669183225596,0.014923703948964851,0.001602657394983154,0.0008182032053806293,0.0009814347947595316,0.0023890144620739616,0.03437686362713497,0.03371679096737306,0.03332676580116688,0.03324173722604664,0.034050171655584494,set_02_slide.jpeg,slide,WT3_lungs,slide,0
7378.5,1529.016368508339,0.9862068965517241,0.4851563270539501,0.6706803441894175,0.5387039734106334,2.1549461966854593,3.057748624418049,3.1866673549144373,-6.975404761871328,4.479010123716308,6.319202524249573,0.3183098861837565,0.0033385817270054833,0.3845359263189676,0.07934361158606888,0.08490620606604224,0.03667650152531872,0.022033754376729126,0.08091067039546007,0.04048454967006941,0.12413055806368202,0.0407750009512706,0.07967441608452168,0.18865867707709166,0.08844434713260116,0.03862197519048299,0.05931808998273199,0.1491186906141299,0.08113304776471464,0.1206231886488825,0.06426032317835148,0.16446803210481636,0.10108990721782356,0.015203346751731362,0.08158723056643327,0.04908053290363855,set_02_slide.jpeg,slide,WT3_lungs,slide,1
1587.0,160.1421353816986,1.0,0.9739183798711261,0.2579738865689513,0.7779446198586532,4.377228139715262,5.358554439339267,6.871683311638266,-13.31223637447725,9.243489064877826,-13.041710464125188,0.3183098861838044,0.0017652311072737872,0.15882073635029811,0.006314998705967926,0.0009268481177027494,0.007986424010495194,0.12507341743420025,0.003063979726711609,0.11782929759004605,0.0048143464764113224,0.0021337750763824512,0.007026119413605564,0.021094675375902743,0.0029764687297454836,0.01367404502311222,0.008369916830154952,0.006174780775175653,0.0037668798547320094,0.0032087425293662545,0.005305299094558185,0.05039309863809197,0.004483113237004616,0.05984835189138873,0.004770840705355509,0.04967125596317819,set_02_slide.jpeg,slide,WT3_lungs,slide,2
1079.5,127.01219260692596,0.7209302325581395,0.9786944696282865,0.7033215547255772,0.7723504225444744,2.5268604226996256,5.594484294425132,7.1813885899626575,-13.811625361544683,-8.785535994297886,13.655524688498176,0.3183098861837863,0.002229156863676266,0.06761019045860965,0.06501760603074914,0.0031430057644401305,0.0052964762610731,0.06044742953789297,0.05826248072745746,0.04372852111117708,0.007307037995429458,0.0022893584484731254,0.00689513563629838,0.020098171799214,0.021009834237357347,0.007393482362931174,0.005068616654124176,0.009566458562452425,0.004959870357179183,0.0028139324309405024,0.005695545095607825,0.018373679240741677,0.01677703980230654,0.02307749854593891,0.024834154434404267,0.020398289247102117,set_02_slide.jpeg,slide,WT3_lungs,slide,3
