,WT3_lungs,TWKO4_esophagus,WT2_lungs,WT5_esophagus,TWKO5_lungs
TWKOB5_lungs,0.18172929638436913,0.15387079986280222,0.16862426583890883,0.16435370694014548,0.18359202771486302
WT3_lungs,0.1765620709798121,0.14724371413300097,0.1821195706267639,0.1763800152318521,0.19904486188208803
TWKO4_esophagus,0.2013672240340765,0.14381369076415887,0.1777706790963429,0.1720022663358988,0.17669423186301464
WT2_lungs,0.15352034670874345,0.12782965891197426,0.18021548026356735,0.16115138939814652,0.19158422282095716
WT5_esophagus,0.13106900472312777,0.11479577555435957,0.16026604330835156,0.16150913028157624,0.17543849210199636
TWKO5_lungs,0.1705016594051088,0.17128518542643817,0.17192689997673308,0.1661571544840655,0.23249610783522873
