block_group,slide_group,routing_decision,raw_similarity,routing_uncertain,notes
set_02,set_26,constellation,0.35322178517237546,False,constellation L2 on 55-element signature
set_02,set_27,shape_partial,0.07076524903294186,True,shape_partial penalty=0.5
set_02,set_28,shape,0.1322825077229225,False,Phase 2 set-to-set Hungarian shape similarity
set_02,set_29,shape,0.14972533126372703,False,Phase 2 set-to-set Hungarian shape similarity
set_02,set_30,shape,0.13433037844259202,False,Phase 2 set-to-set Hungarian shape similarity
set_02,set_31,constellation,0.33582480561131456,False,constellation L2 on 55-element signature
set_02,set_32,constellation,0.1537508974026951,False,constellation L2 on 55-element signature
set_02,set_33,constellation,0.2716158191905938,False,constellation L2 on 55-element signature
set_02,set_34,shape,0.15833350759853274,False,Phase 2 set-to-set Hungarian shape similarity
set_02,set_35,shape,0.15828668246974417,False,Phase 2 set-to-set Hungarian shape similarity
set_02,set_36,constellation,0.3709237651392822,False,constellation L2 on 55-element signature
set_02,set_37,constellation,0.2106196425976971,False,constellation L2 on 55-element signature
set_02,set_38,constellation,0.2677015950770328,False,constellation L2 on 55-element signature
set_02,set_39,constellation,0.3373684201177046,False,constellation L2 on 55-element signature
set_02,set_40,shape_partial,0.07076234723996332,True,shape_partial penalty=0.5
set_02,set_41,shape,0.15293866150254196,False,Phase 2 set-to-set Hungarian shape similarity
set_02,set_42,constellation,0.622330806456917,False,constellation L2 on 55-element signature
set_02,set_43,constellation,0.9204859125002146,False,constellation L2 on 55-element signature
set_02,set_44,shape_partial,0.0728434133596745,True,shape_partial penalty=0.5
set_02,set_45,shape,0.14229397204689792,False,Phase 2 set-to-set Hungarian shape similarity
set_02,set_46,constellation,0.15748554747166113,False,constellation L2 on 55-element signature
set_02,set_47,shape,0.18399869239801597,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_02,shape,0.1667886094353014,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_03,constellation,0.42290826807188087,False,constellation L2 on 55-element signature
set_03,set_04,shape,0.15853437045150276,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_05,shape,0.16625569546169233,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_06,shape_partial,0.08151124304565394,True,shape_partial penalty=0.5
set_03,set_07,shape,0.13924867896675355,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_08,shape,0.1436688039301949,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_09,shape,0.14772502830426018,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_10,constellation,0.38329606531309796,False,constellation L2 on 55-element signature
set_03,set_11,constellation,0.36326111500088726,False,constellation L2 on 55-element signature
set_03,set_12,constellation,0.36315015837663156,False,constellation L2 on 55-element signature
set_03,set_13,constellation,0.4253969001269115,False,constellation L2 on 55-element signature
set_03,set_14,constellation,0.4150799393428785,False,constellation L2 on 55-element signature
set_03,set_15,shape,0.14617297335734347,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_16,shape_partial,0.15271731632918398,True,shape_partial penalty=0.5
set_03,set_17,constellation,0.22838276994380094,False,constellation L2 on 55-element signature
set_03,set_18,shape,0.1521819042888577,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_19,constellation,0.4475481301721518,False,constellation L2 on 55-element signature
set_03,set_20,shape_partial,0.1152011715627933,True,shape_partial penalty=0.5
set_03,set_21,shape,0.15929816836705268,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_22,shape,0.13175172778776212,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_23,shape,0.1571167157015629,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_24,shape_partial,0.06342739061478145,True,shape_partial penalty=0.5
set_03,set_25,shape,0.12048074141111202,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_26,constellation,0.3947678452497162,False,constellation L2 on 55-element signature
set_03,set_27,shape_partial,0.09344763684240419,True,shape_partial penalty=0.5
set_03,set_28,shape,0.16960421100079912,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_29,shape,0.1410255834525066,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_30,shape,0.13657878053066425,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_31,constellation,0.4001436465854057,False,constellation L2 on 55-element signature
set_03,set_32,constellation,0.15940250745020157,False,constellation L2 on 55-element signature
set_03,set_33,constellation,0.29747559129849005,False,constellation L2 on 55-element signature
set_03,set_34,shape,0.15256023272084965,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_35,shape,0.15272507109012065,False,Phase 2 set-to-set Hungarian shape similarity
set_03,set_36,constellation,0.39784834298245136,False,constellation L2 on 55-element signature
set_03,set_37,constellation,0.22678739553480226,False,constellation L2 on 55-element signature
set_03,set_38,constellation,0.2975771585888004,False,constellation L2 on 55-element signature
set_03,set_39,constellation,0.40497240438857773,False,constellation L2 on 55-element signature
