area,perimeter,aspect_ratio,solidity,eccentricity,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24,contour_index,filename,group_key,role,tissue_class,tissue_token
945237.5,4036.4234417676926,0.7281067556296914,0.9920295498052123,0.7315728188597231,0.752520998810074,2.4652936525964813,7.564019935602889,8.95577008160952,17.435470735142896,10.350820233746889,17.313732854025265,0.31830988618589107,0.00016287305587413725,0.08665599721813948,0.08668147757736264,0.00011733185786843822,0.000470781620561708,0.054891919138763505,0.05492154266867498,0.054922214129549556,7.900504328915157e-05,4.8591088228079014e-05,0.0003449887389019108,0.0070982511485214676,0.007070556536932012,0.007116919100171429,0.007037806921526342,0.00016293473518879244,0.0002946140511018367,0.0004153283304111599,0.00022844543625932405,0.03230197126896532,0.03227010661446061,0.03235547230016905,0.0323172289736933,0.03233897147783883,0,set_01_block_silhouette_lung_MT_TWKOB4.jpeg,set_01,block_silhouette,lung,lung
1052479.5,4475.643785119057,0.7130434782608696,0.9879546968187239,0.7266276989013871,0.7527288771196758,2.433213096033441,6.213366049468528,7.743190700645412,-14.72852075989062,8.962427281990175,-15.46921610709385,0.31830988618611067,0.00012539560284994226,0.08024199394164945,0.08018040213047782,9.176816374749555e-05,0.0005051085348336443,0.05534284175163251,0.0552974747859893,0.05517622314078834,0.0001601632773343892,0.00017252925709071977,0.0005372172989217814,0.001004544161200676,0.0010233108622739143,0.0009643943633800156,0.00122900683827408,0.00018102470061518878,0.00042657981314069704,0.0007682544852374478,0.0003087318890092685,0.03003805372658131,0.030063398199920766,0.029921959528667736,0.02982517028630457,0.03010329866050635,0,set_02_block_silhouette_lungs_HE_WT3_WO7842.jpeg,set_02,block_silhouette,lung,lungs
241299.5,6255.462983965874,27.743119266055047,0.979978028627764,0.9999602572599529,-0.48343315890371524,-0.9654543867192728,-0.22695520655540924,-0.2227647516960732,-0.44762473078950127,-0.7054913581308616,4.466063120018835,0.3183098861838214,0.0022173585860314742,0.1562323478217976,0.15636445136802202,0.0014100304644609305,0.0022643056821238156,0.013257922047428115,0.014249577382687518,0.013588363470557769,0.001881502507158264,0.0019033410118587724,0.002200414999075588,0.06177792851867832,0.060873256252536624,0.05953165549604641,0.06073331828334472,0.0008809298786103533,0.0016542469862525547,0.002896112452934709,0.0023777472797679782,0.00638696824797482,0.006283933874315231,0.005790355208905216,0.008092670749773427,0.005061058731126378,1,set_02_block_silhouette_lungs_HE_WT3_WO7842.jpeg,set_02,block_silhouette,lung,lungs
649278.5,6542.859952569008,12.86808510638298,0.9917016884536166,0.9991494599052128,-0.07127690960327407,-0.13372402861537785,2.276807455362658,2.305839221675176,4.597162591246113,2.2389899924689898,8.01949480718623,0.3183098861836152,0.001626296139901227,0.09470242174825749,0.09487714852981703,0.0008278792098668678,0.001761710433497129,0.05328552978647938,0.05367694160480429,0.05361922185726782,0.0017858027756528915,0.0010454388004875132,0.0014406726611195368,0.015426266779755912,0.014827491358159264,0.01454669183225596,0.014923703948964851,0.001602657394983154,0.0008182032053806293,0.0009814347947595316,0.0023890144620739616,0.03437686362713497,0.03371679096737306,0.03332676580116688,0.03324173722604664,0.034050171655584494,0,set_02_slide_lungs_HE_WT3_WO7842.jpeg,set_02,slide,lung,lungs
7378.5,1529.016368508339,0.9862068965517241,0.4851563270539501,0.6706803441894175,0.5387039734106334,2.1549461966854593,3.057748624418049,3.1866673549144373,-6.975404761871328,4.479010123716308,6.319202524249573,0.3183098861837565,0.0033385817270054833,0.3845359263189676,0.07934361158606888,0.08490620606604224,0.03667650152531872,0.022033754376729126,0.08091067039546007,0.04048454967006941,0.12413055806368202,0.0407750009512706,0.07967441608452168,0.18865867707709166,0.08844434713260116,0.03862197519048299,0.05931808998273199,0.1491186906141299,0.08113304776471464,0.1206231886488825,0.06426032317835148,0.16446803210481636,0.10108990721782356,0.015203346751731362,0.08158723056643327,0.04908053290363855,1,set_02_slide_lungs_HE_WT3_WO7842.jpeg,set_02,slide,lung,lungs
1587.0,160.1421353816986,1.0,0.9739183798711261,0.2579738865689513,0.7779446198586532,4.377228139715262,5.358554439339267,6.871683311638266,-13.31223637447725,9.243489064877826,-13.041710464125188,0.3183098861838044,0.0017652311072737872,0.15882073635029811,0.006314998705967926,0.0009268481177027494,0.007986424010495194,0.12507341743420025,0.003063979726711609,0.11782929759004605,0.0048143464764113224,0.0021337750763824512,0.007026119413605564,0.021094675375902743,0.0029764687297454836,0.01367404502311222,0.008369916830154952,0.006174780775175653,0.0037668798547320094,0.0032087425293662545,0.005305299094558185,0.05039309863809197,0.004483113237004616,0.05984835189138873,0.004770840705355509,0.04967125596317819,2,set_02_slide_lungs_HE_WT3_WO7842.jpeg,set_02,slide,lung,lungs
1079.5,127.01219260692596,0.7209302325581395,0.9786944696282865,0.7033215547255772,0.7723504225444744,2.5268604226996256,5.594484294425132,7.1813885899626575,-13.811625361544683,-8.785535994297886,13.655524688498176,0.3183098861837863,0.002229156863676266,0.06761019045860965,0.06501760603074914,0.0031430057644401305,0.0052964762610731,0.06044742953789297,0.05826248072745746,0.04372852111117708,0.007307037995429458,0.0022893584484731254,0.00689513563629838,0.020098171799214,0.021009834237357347,0.007393482362931174,0.005068616654124176,0.009566458562452425,0.004959870357179183,0.0028139324309405024,0.005695545095607825,0.018373679240741677,0.01677703980230654,0.02307749854593891,0.024834154434404267,0.020398289247102117,3,set_02_slide_lungs_HE_WT3_WO7842.jpeg,set_02,slide,lung,lungs
345458.0,6338.132030725479,24.99173553719008,0.9860973343590373,0.9998591535137769,-0.3450902606081734,-0.6876987327179984,1.932276273716811,1.9405798279890816,3.8770078871095497,1.596770238287917,7.586697365707462,0.3183098861838298,0.003888651921896303,0.08503646617467979,0.08458862356304984,0.0018528756103854908,0.0018254513759581794,0.055580094151705665,0.055007616935345276,0.05455881623759305,0.00315912183182408,0.0028855076445590635,0.0029950065388829293,0.004634975346844127,0.005297861339912258,0.00535843885566738,0.005688726940255712,0.0037711268171194247,0.0031709409192066072,0.0023448310031574594,0.004158797001855824,0.031113398570775063,0.031867369915165526,0.03169844444630585,0.031276362453898594,0.031188030040812508,0,set_03_block_silhouette_esophagus_HE_TWKO4_WO7842.jpeg,set_03,block_silhouette,esophagus,esophagus
762915.0,4002.94024848938,0.698339483394834,0.9799939498220592,0.7203663152310429,0.7508403944357614,2.411002444108363,5.623784625201386,7.5798655483394155,-14.79206448806576,8.930440851300837,14.195161895434982,0.3183098861816194,0.0004628699926094849,0.07697725201703676,0.07731049009928743,0.00031118688582242027,0.000818050920560044,0.054546457737013616,0.05489933391505245,0.055804569563214584,0.0006205302335000816,0.0006394679420249151,0.00043013415878375127,0.00093531747756586,0.0011947362932598334,0.0016820068806232805,0.0024697200484277535,0.0004097703010377227,0.0006263236133375042,0.0005360452439112869,0.0007620088288628943,0.02874976271546239,0.028586178678414523,0.028477076482328674,0.02853471294735598,0.028479240968974074,1,set_03_block_silhouette_esophagus_HE_TWKO4_WO7842.jpeg,set_03,block_silhouette,esophagus,esophagus
762470.5,6653.511754393578,11.41132075471698,0.9845938990264733,0.9987692884056133,-0.004516003694956778,0.003016260465661154,3.4416805468871763,3.4888206494620424,6.95407953503685,3.491724086612155,-9.163243393426646,0.31830988618353845,0.0027680863832489494,0.08168808362525709,0.08169478230678781,0.0013841859652492339,0.0016436183910089625,0.055135280368251105,0.05507067147873726,0.05524385145944891,0.002064088102389161,0.002228109333795437,0.0018527634527719472,0.002383880883883691,0.0025569052137049287,0.002610410288298489,0.002162021638372515,0.0023370960915687113,0.0026249856140812006,0.002666138185246113,0.0022711935319936387,0.030215948872009256,0.03047347555160571,0.030685839710806406,0.030498538934778253,0.030503439815375972,2,set_03_block_silhouette_esophagus_HE_TWKO4_WO7842.jpeg,set_03,block_silhouette,esophagus,esophagus
